delta_ep,reversibility_index,noise_index,sei_thickness,ipa_decay_rate,kinetics_proxy,diffusion_proxy,stability_index,consistency_score,cycle_count,soh
171.68,0.4978,0.1477,83.69,1.181,0.7139,0.7221,0.7364,0.8426,103,68.99
177.08,0.4766,0.1444,86.06,1.295,0.7374,0.7591,0.764,0.8159,104,68.68
171.13,0.4796,0.1467,87.02,1.1575,0.7287,0.7663,0.7425,0.8133,105,68.81
166.67,0.5292,0.1555,89.66,0.8226,0.777,0.736,0.7589,0.7839,106,67.35
181.38,0.4765,0.1476,91.96,1.1038,0.7158,0.7512,0.7438,0.805,107,66.78
182.39,0.5889,0.1557,89.02,1.2427,0.7356,0.7506,0.7427,0.7754,108,65.99
193.14,0.4994,0.1641,87.68,1.1602,0.6988,0.7196,0.7307,0.8232,109,64.44
186.34,0.523,0.1698,91.94,1.038,0.7096,0.7299,0.7178,0.8199,110,64.76
185.01,0.5406,0.1602,90.05,1.0622,0.6433,0.7426,0.7039,0.7698,111,64.17
173.4,0.5115,0.147,93.65,1.2624,0.6707,0.7607,0.7433,0.7858,112,64.73
177.25,0.6211,0.1525,87.68,1.3007,0.7473,0.7257,0.725,0.7949,113,62.75
195.15,0.5795,0.1705,91.62,1.1998,0.6479,0.6888,0.6779,0.7791,114,62.35
188.26,0.5327,0.1721,94.69,1.3134,0.6162,0.6673,0.7264,0.7576,115,61.52
195.5,0.5957,0.1644,92.64,1.1112,0.6345,0.6824,0.6696,0.7804,116,60.29
195.18,0.5905,0.1748,95.5,1.248,0.6439,0.6828,0.7147,0.7748,117,60.77
197.89,0.5623,0.1687,90.45,1.4268,0.6118,0.6587,0.6851,0.7877,118,59.9
198.04,0.628,0.1706,94.28,1.1807,0.7077,0.6429,0.7024,0.7795,119,59.24
205.81,0.6016,0.1809,94.37,1.2784,0.6588,0.697,0.6774,0.7324,120,57.7
202.03,0.6795,0.1727,97.9,1.4521,0.6174,0.6683,0.7234,0.7543,121,58.17
207.18,0.6073,0.1771,93.94,1.2013,0.6166,0.6226,0.685,0.7212,122,56.07
209.06,0.6466,0.1664,96.34,1.441,0.5819,0.674,0.6902,0.7396,123,56.36
206.88,0.6374,0.1868,97.04,1.2245,0.624,0.6132,0.68,0.736,124,56.45
209.72,0.6825,0.2042,97.83,1.2505,0.5893,0.6448,0.6736,0.7901,125,54.15
216.73,0.6566,0.1918,97.32,1.354,0.6156,0.635,0.6525,0.7148,126,53.64
206.64,0.6702,0.1851,93.17,1.4155,0.6657,0.6122,0.683,0.7414,127,53.25
218.09,0.6936,0.1964,98.51,1.4282,0.5618,0.6227,0.6576,0.72,128,52.21
224.62,0.6525,0.2036,98.48,1.5282,0.5851,0.5908,0.6711,0.7574,129,50.95
224.55,0.679,0.1899,96.74,1.3878,0.5532,0.5882,0.6562,0.7405,130,51.02
224.89,0.7073,0.2078,95.45,1.349,0.5556,0.5557,0.6605,0.7547,131,49.71
231.3,0.6861,0.222,100.0,1.409,0.5417,0.574,0.6409,0.7276,132,49.72
229.84,0.708,0.216,100.0,1.5649,0.5028,0.5156,0.66,0.6904,133,48.27
226.68,0.6678,0.1922,100.0,1.5371,0.5342,0.5192,0.6328,0.7277,134,48.74
225.49,0.7289,0.2161,100.0,1.5094,0.5053,0.5771,0.6308,0.7108,135,46.8
229.64,0.7159,0.2091,100.0,1.6789,0.4886,0.5158,0.6607,0.7048,136,46.26
231.52,0.7626,0.2126,100.0,1.5795,0.5132,0.5893,0.6181,0.7229,137,46.04
241.06,0.7895,0.2399,100.0,1.4703,0.5259,0.5158,0.6614,0.703,138,44.23
237.9,0.7566,0.211,100.0,1.6668,0.4918,0.5078,0.6316,0.7238,139,44.17
243.99,0.7837,0.2177,100.0,1.7017,0.4996,0.5214,0.6461,0.7101,140,43.91
248.5,0.8424,0.2259,100.0,1.5997,0.4975,0.5359,0.6184,0.7,141,41.65
251.36,0.7656,0.2237,100.0,1.3957,0.5519,0.4841,0.6043,0.6841,142,41.74
249.52,0.8091,0.2431,100.0,1.5902,0.4919,0.4939,0.637,0.6961,143,40.97
253.09,0.8104,0.248,100.0,1.4877,0.4905,0.4807,0.5915,0.6957,144,40.41
260.28,0.8102,0.2451,100.0,1.6759,0.5406,0.4878,0.5576,0.6913,145,38.57
258.21,0.8573,0.2514,100.0,1.5457,0.4486,0.4513,0.5769,0.6843,146,37.7
264.44,0.8296,0.2325,100.0,1.7862,0.4373,0.4664,0.5892,0.6572,147,37.78
261.75,0.824,0.2516,100.0,1.6407,0.4689,0.4527,0.6187,0.6609,148,36.83
261.82,0.8646,0.2359,100.0,1.5482,0.4775,0.4409,0.631,0.6539,149,35.96
263.65,0.8913,0.2727,100.0,1.8367,0.4633,0.4562,0.5913,0.6508,150,35.15
